filename,description
"Robert Raushenberg/Factum_I_and_Factum_II,_1957,_Robert_Rauschenberg.jpg","two paintings on display in a museum
"
"Robert Raushenberg/Robert_Rauschenberg_s__Canyon_,_1959.jpg","a painting of a bird on a wall with a bird cage
"
Robert Raushenberg/Robert Rauschenberg  The lily white.jpg,"a painting with a red star on it and words on it
"
Robert Raushenberg/Hoarfrost- Robert Raushenberg.jpg,"a white piece of fabric with a picture on it
"
Robert Raushenberg/Robert Raushenberg zoo lion.jpg,"a drawing of a bear with a head and horns
"
Robert Raushenberg/Rebus Robert Raushenberg.jpg,"a painting with various objects and papers on it
"
Robert Raushenberg/Robert raushenberg acrylic collage.jpg,"a painting with a yellow sun and blue sky
"
Robert Raushenberg/Robert raushenberg  stone stone stone.jpg,"a drawing of a square with a circle in the middle
"
"Robert Raushenberg/Bed,_1955,_Rauschenberg_at_MoMA_2022.jpg","a painting with a large piece of fabric on the wall
"
Robert Raushenberg/Riding Bikes  -Rauschenberg3.jpg,"a sculpture of three bicycles on a pole
"
Robert Raushenberg/Booster Robert Raushenberg.jpg,"a blue chair with a black background and a white wall
"
Robert Raushenberg/Robert Raushenberg Nightbloomer.jpg,"a black and white painting with circles on it
"
"Robert Raushenberg/Robert_Rauschenberg_s_untitled__combine_,_1963.jpg","an abstract painting with various colors and shapes
"
Robert Raushenberg/Robert Raushenberg mother of god.jpg,"a map of the united states with a circle in the middle
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-ark_-kashmir(1).jpg,"a painting of a boat with people in it
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-still-life-ii-(day-of-the-dagger-1)(1).jpg,"an abstract painting with a red, green and blue background
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-beyond-the-ridge(1).jpg,"a painting of a hillside with trees and bushes
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-famine-to-floods.jpg,"an abstract painting with a circle in the center
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-a-tree-in-my-life.jpg,"a painting of a tree with birds flying around it
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-between-memory-and-music.jpg,"a painting of a tree and a leaf
"
Gulam Mohammed Sheikh/gulam-mohammed-and-nilima-sheikh-untitled-(the-man-giving-woman-the-moon-and-the-woman-giving-man-the-earth)(1).jpg,"an abstract painting with a woman and a man
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-predator-ii(1).jpg,"a painting of a horse in the middle of a circle
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-untitled (1)(1).jpg,"a black and white drawing of a man with a hat
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-talisman_-taveez(1).jpg,"an abstract painting with many different colors
"
"Gulam Mohammed Sheikh/gulam-mohammed-sheikh-thaarha-sindh-charaavai-gaee,-2000.jpg","a black and white drawing of a cow with a lion on its back
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-sursagar(1).jpg,"an abstract painting with a green background and red flowers
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-still-life(1).jpg,"an abstract painting with black and white shapes
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-meanderings(1).jpg,"a brown and white print with a woman and a man
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-between-memory-and-music(1).jpg,"a painting of a tree and a leaf
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-talisman_-taveez.jpg,"an abstract painting with many different colors
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-walled-city-ii(1).jpg,"a square rug with a pattern of trees and buildings
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-magician-and-mystic.jpg,"a painting with many different colors and shapes
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-art-history-and-art---2(1).jpg,"a painting with colorful flowers and people
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-how-can-you-sleep-tonight(1).jpg,"a painting with a large abstract design on it
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-earth-ii(1).jpg,"a black and white image of a circular coin
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-predator-ii.jpg,"a painting of a horse in the middle of a circle
"
"Gulam Mohammed Sheikh/gulam-mohammed-sheikh-thaarha-sindh-charaavai-gaee,-2000(1).jpg","a black and white drawing of a cow with a lion on its back
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-self-portrait.jpg,"a painting of a man in a blue suit with a purple background
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-portrait-of-a-tree.jpg,"a painting of a tree in a field with a castle in the background
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-untitled (1).jpg,"a black and white drawing of a man with a hat
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-meanderings.jpg,"a brown and white print with a woman and a man
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-sursagar.jpg,"an abstract painting with a green background and red flowers
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-famine-to-floods(1).jpg,"an abstract painting with a circle in the center
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-walled-city-ii.jpg,"a square rug with a pattern of trees and buildings
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-untitled.jpg,"a colorful sculpture of a tree with a bird on top
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-untitled (3)(1).jpg,"a painting of a flower with red, blue and green colors
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-those-above-and-those-below(1).jpg,"an abstract painting with red and yellow colors
"
Gulam Mohammed Sheikh/gulam-mohammed-and-nilima-sheikh-untitled-(the-man-giving-woman-the-moon-and-the-woman-giving-man-the-earth).jpg,"an abstract painting with a woman and a man
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-earth-ii.jpg,"a black and white image of a circular coin
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-still-life-ii-(day-of-the-dagger-1).jpg,"an abstract painting with a red, green and blue background
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-those-above-and-those-below.jpg,"an abstract painting with red and yellow colors
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-portrait-of-a-tree(1).jpg,"a painting of a tree in a field with a castle in the background
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-mirage-(diptych).jpg,"two paintings of a square with a blue and yellow border
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-tree-over-mountains.jpg,"a painting of a tree with a mountain in the background
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-passage-to-china-via-uccello-and-siyeh-qalem.jpg,"a painting with a woman and a man in front of a door
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-how-can-you-sleep-tonight.jpg,"a painting with a large abstract design on it
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-self-portrait(1).jpg,"a painting of a man in a blue suit with a purple background
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-passage-to-china-via-uccello-and-siyeh-qalem(1).jpg,"a painting with a woman and a man in front of a door
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-sema-(from-the-series-whose-kashmir).jpg,"a circular pattern with people in it
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-sema-(from-the-series-whose-kashmir)(1).jpg,"a circular pattern with people in it
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-a-tree-in-my-life(1).jpg,"a painting of a tree with birds flying around it
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-magician-and-mystic(1).jpg,"a painting with many different colors and shapes
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-untitled (3).jpg,"a painting of a flower with red, blue and green colors
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-tree-over-mountains(1).jpg,"a painting of a tree with a mountain in the background
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-art-history-and-art---2.jpg,"a painting with colorful flowers and people
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-ark_-kashmir.jpg,"a painting of a boat with people in it
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-mirage-(diptych)(1).jpg,"two paintings of a square with a blue and yellow border
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-untitled(1).jpg,"a colorful sculpture of a tree with a bird on top
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-still-life.jpg,"an abstract painting with black and white shapes
"
Gulam Mohammed Sheikh/gulam-mohammed-sheikh-beyond-the-ridge.jpg,"a painting of a hillside with trees and bushes
"
Paul Cezanne/Who Was He_Paul Cezanne.jpg,"a painting of fruit and flowers on a table
"
Paul Cezanne/Fox And Chave_Paul Cezanne.jpeg,"a painting of fruit and a pitcher on a table
"
Paul Cezanne/Pyramid Of Skulls_Paul Cezanne.jpg,"three skulls by paul cezanne
"
Paul Cezanne/Still Life With Pears_Paul Cezanne.jpg,"a painting of a pear and two apples
"
Paul Cezanne/Pear Oil_Paul Cezanne.jpg,"a painting of two pears and an apple on a plate
"
Paul Cezanne/Secrets To Painting_Chezanne.jpg,"a painting of three apples on a plate
"
Paul Cezanne/Replica Landscape_Paul Cezanne.jpg,"a painting of a landscape with trees and mountains
"
Paul Cezanne/Father Of Modern Art_Paul Cezanne.jpg,"still life with fruit and a painting of a house
"
Paul Cezanne/National Gallery_Paul Cezanne.jpg,"a painting of a farm with trees and a house
"
Paul Cezanne/Still Life With Apples_Paul Cezanne.jpg,"a painting of apples and lemons on a table
"
Paul Cezanne/An Apple A Day_Paul Cezanne.jpg,"a painting of fruit and vegetables on a table
"
Paul Cezanne/Scholarly Skater_Paul Cezanne.jpg,"a painting of fruit on a table with a jug
"
Paul Cezanne/Metropolitan_Paul Cezanne.jpg,"a painting of apples and a knife on a table
"
Paul Cezanne/Still Life With Skulls_Paul Cezanne.jpg,"a painting of a skull and pears on a table
"
Paul Cezanne/Paul Elephant_Paul Cezanne.jpg,"a painting of trees and a road
"
Paul Cezanne/Oil Paintings_Cezanne.jpg,"a painting of pears and apples on a plate
"
Paul Cezanne/Bite Size_Paul Cezanne.png,"a painting of fruit on a table
"
George Renoult/clowness_ george renoult.jpg,"two clowns posing for a photo with an umbrella
"
George Renoult/the high command officer_george renoult.jpg,"the painting shows two people sitting at a table
"
George Renoult/the accused_george renoult.jpg,"a painting of a group of men sitting around a table
"
George Renoult/ear rings _ geroge renoult.jpg,"a painting of a woman sitting on a chair
"
George Renoult/mythical landscape_george renoult.jpg,"a painting of people walking in the snow
"
George Renoult/the flower pot _ george renoult.jpg,"a painting of flowers in a vase on a table
"
George Renoult/the old king _george rounloult.jpg,"a painting of a man in a red coat and hat
"
George Renoult/the clown_george renoult.jpg,"an abstract painting of a clown with a hat
"
George Renoult/clown tragique_george renoult.jpg,"a painting of a clown with a hat on
"
George Renoult/wounded clown_georgerenoult.jpg,"a painting of three men in costume standing in front of a tree
"
George Renoult/dors mon armour _ georgerenoult.jpg,"a painting of a woman holding a baby
"
George Renoult/the holy face _george renoult.jpg,"a painting of jesus with a beard and a crown
"
George Renoult/the factory_george renoult.jpg,"a painting of people walking in front of a city
"
George Renoult/christ and the  high command_george renoult.jpg,"the two men at the table by marc picasso
"
George Renoult/la pauere famile_george renoult.jpg,"a painting of a man sitting in a chair
"
George Renoult/jesus_george renoult.jpg,"a painting of jesus with a beard and a crown
"
George Renoult/the street view_george renoult.jpg,"a painting of a street with people walking in front of buildings
"
George Renoult/the farm _ george renoult.jpg,"a painting of people walking in the countryside
"
George Renoult/the head christ_george renoult.jpg,"a painting of jesus with a woman in front of him
"
George Renoult/three judges_george renoult.jpg,"a painting of three men in green and orange
"
George Renoult/the hair _ george renoult.jpg,"a painting of a woman with a headdress on
"
George Renoult/slaughter_george reolout.jpg,"a painting of people in a bar with a sign that says bar
"
George Renoult/mille _ george renoult.jpg,"an abstract painting with people sitting on the ground
"
George Renoult/framed god_george renoult.jpg,"a black and white print of a face with a crown
"
George Renoult/framed pictures_george renoult.jpg,"a painting of a woman in a gold frame
"
George Renoult/self potrait_george renoult.jpg,"a painting of a man with a red shirt
"
George Renoult/crucixion_george renoult.jpg,"a painting of jesus on the cross with people in the background
"
George Renoult/trois personages_george renoult.jpg,"a painting of people walking down a road
"
Kazimir Malevich/on-the-cemetery-1911.jpg!Large.jpg,"a drawing of two people in a cemetery
"
Kazimir Malevich/taking-in-the-harvest-1911.jpg!Large.jpg,"a painting of people working on a large barrel
"
Kazimir Malevich/two-and-a-pushcart-1911.jpg!Large.jpg,"a drawing of two men pushing a cart
"
Kazimir Malevich/underwear-on-the-fence-1903.jpg!Large.jpg,"claude monet, the laundry, 1891
"
Kazimir Malevich/church-1905.jpg!Large.jpg,"a painting of a house in the snow
"
Kazimir Malevich/mower-1912.jpg!Large.jpg,"a drawing of a man in armor holding a sword
"
Kazimir Malevich/portrait-of-a-member-of-the-artist-s-family.jpg!Large.jpg,"a painting of a woman sitting in a chair
"
Kazimir Malevich/plowman-1911.jpg!Large.jpg,"a drawing of a man plowing with a horse
"
Kazimir Malevich/cubo-futurist-composition-1912.jpg!Large.jpg,"a drawing of a man with a hat and a pipe
"
Kazimir Malevich/prayer-1907.jpg!Large.jpg,"a painting of a woman sitting in the woods
"
Kazimir Malevich/not_detected_219728.jpg!Large.jpg,"a painting of three naked people in a yellow field
"
Kazimir Malevich/carpenter-1911.jpg!Large.jpg,"a drawing of a man carrying a bag of food
"
Kazimir Malevich/winter-landscape-1906.jpg!Large.jpg,"a painting of a snowy forest with trees and snow
"
Kazimir Malevich/three-women-on-the-road.jpg!Large.jpg,"a painting of three women walking in a field
"
Kazimir Malevich/landscape-1908.jpg!Large.jpg,"an abstract painting with yellow, blue and orange colors
"
Kazimir Malevich/sisters-1910.jpg,"two women in white hats and white dresses standing next to a fence
"
Kazimir Malevich/bathers-1911.jpg!Large.jpg,"a drawing of two men fighting over a woman
"
Kazimir Malevich/argentine-polka-1911.jpg!Large.jpg,"a painting of a man and woman dancing
"
Kazimir Malevich/spring-garden-in-blossom-1904.jpg,"a painting of a house with trees in the background
"
Kazimir Malevich/town-1910.jpg!Large.jpg,"a painting of a city with buildings and trees
"
Kazimir Malevich/landscape-with-yellow-house-1907.jpg,"a painting of a yellow house in the snow
"
Kazimir Malevich/in-the-baths-1911.jpg!Large.jpg,"a drawing of two naked people sitting on a bench
"
Kazimir Malevich/river-in-forest-1908.jpg!Large.jpg,"a painting of trees and water in the foreground
"
Kazimir Malevich/sketch-for-fresco-1907.jpg!Large.jpg,"a painting of people in a field with a tree in the background
"
Kazimir Malevich/veil-1908.jpg!Large.jpg,"a painting with a woman laying on a bed
"
Kazimir Malevich/bather-1911.jpg!Large.jpg,"a painting of a man in a red and white shirt
"
Kazimir Malevich/two-dryads-1908.jpg!Large.jpg,"a black and white drawing of two women sitting under a tree
"
Kazimir Malevich/self-portrait-1907.jpg!Large.jpg,"a painting of a man with a beard and red tie
"
Kazimir Malevich/reaping-1911.jpg!Large.jpg,"a drawing of people carrying bags and baskets
"
Kazimir Malevich/house-in-the-wall-1911.jpg!Large.jpg,"a drawing of a house and a horse drawn cart
"
Kazimir Malevich/self-portrait.jpg!Large.jpg,"a painting of a man with a black suit and tie
"
Kazimir Malevich/oak-and-dryads-1908.jpg!Large.jpg,"a painting with a red background and many people in it
"
Kazimir Malevich/a-scene-from-the-drama-of-leonid-andreev-anathema-1909.jpg!Large.jpg,"a black and white drawing of a man standing on a rock
"
Kazimir Malevich/the-wedding-1907.jpg!Large.jpg,"a painting of people in suits walking down a path
"
Kazimir Malevich/birkenhain-1905.jpg!Large.jpg,"a painting of a house and trees in the background
"
Kazimir Malevich/in-the-field-1912.jpg!Large.jpg,"two drawings of people in a field with a man and woman
"
Kazimir Malevich/rest-society-in-top-hats-1908.jpg!Large.jpg,"a painting of people in white dresses sitting on grass
"
Kazimir Malevich/floor-polishers-1912.jpg!Large.jpg,"a painting of two men in red and yellow clothing
"
Kazimir Malevich/peasant-woman-with-buckets-1912.jpg!Large.jpg,"a drawing of a man carrying a bag
"
Kazimir Malevich/self-portrait-1910.jpg!Large.jpg,"a painting of a man with a tie and a red shirt
"
Kazimir Malevich/gardener-1911.jpg!Large.jpg,"a painting of a man with a shovel and a plant
"
Kazimir Malevich/triumph-of-the-skies-1907.jpg!Large.jpg,"a painting with a large group of people in the sky
"
Kazimir Malevich/still-life.jpg!Large.jpg,"a painting of fruit and vegetables on a table
"
Kazimir Malevich/peasant-woman-1912.jpg!Large.jpg,"a painting of a woman with a hat and a hat
"
Kazimir Malevich/portrait-of-the-composer-roslavets-malevich-1907-08.jpg,"a drawing of a woman playing the violin in front of trees
"
Laszlo Moholy/composition-a-xi-1923.jpg!Large.jpg,"a painting with black, white and blue lines
"
Laszlo Moholy/view-from-the-berlin-radio-tower-in-winter-1928.jpg!Large.jpg,"an aerial view of a circular building with a circular driveway
"
Laszlo Moholy/Telephone Picture EM 1 (1923)(1).png,", 'the cross', 1937, oil on canvas, 48 x 48 in, gilt, $1,250,000
"
Laszlo Moholy/CH Space 6 (1941)(1).png,"an abstract painting with a red, blue and white oval
"
Laszlo Moholy/K VII (1922)(1).png,"an abstract painting with black, white and grey squares
"
Laszlo Moholy/jealousy-1927.jpg!Large.jpg,"a drawing of a man and woman with a man standing in front of them
"
Laszlo Moholy/the-dream-of-a-girls-boarding-1925.jpg!Large.jpg,"a drawing of people jumping on a circle
"
Laszlo Moholy/untitled-flower.jpg!Large.jpg,"a sepia photo of a flower with a light shining on it
"
Laszlo Moholy/Composition Q XX (1923).png,"a painting with a red, yellow and black geometric shape
"
Laszlo Moholy/costume-design-for-tales-of-hoffmann-1929.jpg!Large.jpg,"a drawing of a woman in a black suit and red tie
"
Laszlo Moholy/am-7-26-1926.jpg!Large.jpg,"an abstract painting with black, white and red circles
"
Laszlo Moholy/xanti-schawinsky-on-a-bauhaus-balcony.jpg!Large.jpg,"a black and white photo of a man on the edge of a building
"
Laszlo Moholy/Z VIII (1924).png,"an abstract painting with a large white square
"
Laszlo Moholy/nickel-construction-1921.jpg!Large.jpg,"a metal sculpture with a spiral design on top
"
Laszlo Moholy/the-olly-and-dolly-sisters.jpg!Large.jpg,"a black and white photo of a woman sitting on a black circle
"
Laszlo Moholy/construction-1923.jpg!Large.jpg,"a drawing of a black and white abstract shape
"
Laszlo Moholy/mass-psychosis-1927.jpg,"a drawing of a man and a woman in a tube
"
Laszlo Moholy/telephone-picture-em-3-1922.jpg!Large.jpg,"a black and white painting with red, yellow and black lines
"
Laszlo Moholy/Konstruktion.jpg,"a painting with a black and white geometric shape
"
Laszlo Moholy/self-portrait-1919.jpg!Large.jpg,"a painting of a man with glasses and a tie
"
Laszlo Moholy/A18.png,"a painting with geometric shapes and lines on it
"
Laszlo Moholy/pneumatik-1924.jpg!Large.jpg,"a black and white drawing of a car driving down a hill
"
Laszlo Moholy/Untitled (1924).png,"an old photograph of a black and white image
"
Laszlo Moholy/composition.jpg!Large.jpg,"a black and white drawing of a square with a line through it
"
Laszlo Moholy/K VII (1922).png,"an abstract painting with black, white and grey squares
"
Laszlo Moholy/Untitled.png,"a drawing of a cross and a knife on a white background
"
Laszlo Moholy/photogram.jpg,"a black and white photo of a plane with a circle around it
"
Laszlo Moholy/A 20 (1927) .jpeg,"a black circle with an orange and yellow line
"
"Laszlo Moholy/Nuclear I, CH(1).png","a large painting of a building with a large ball in the middle
"
Laszlo Moholy/Telephone Picture EM 1 (1923).png,", 'the cross', 1937, oil on canvas, 48 x 48 in, gilt, $1,250,000
"
Laszlo Moholy/A 19 (1927)(1).png,"abstract painting with red, black and white lines
"
